City,County,Type,Zip,latitude,longitude
Orange Springs,Marion,P.O. Box,32182,29.493034,-81.96523
Ocklawaha,Marion,P.O. Box,32183,29.084013,-81.8349
Putnam Hall,Putnam,P.O. Box,32185,29.740034,-81.95858
San Mateo,Putnam,Standard,32187,29.589748,-81.57009
Satsuma,Putnam,Standard,32189,29.556365,-81.64433
Seville,Volusia,Standard,32190,29.332109,-81.50008
Sparr,Marion,P.O. Box,32192,29.326821,-82.104632
Welaka,Putnam,Standard,32193,29.476035,-81.66331
Weirsdale,Marion,Standard,32195,29.003387,-81.89262
Daytona Beach,Volusia,Unique,32198,29.022729,-81.172169
Jacksonville,Duval,P.O. Box,32201,30.389438,-81.680806
Jacksonville,Duval,Standard,32202,30.328539,-81.65101
Jacksonville,Duval,P.O. Box,32203,30.32281,-81.547044
Jacksonville,Duval,Standard,32204,30.323806,-81.68174
Jacksonville,Duval,Standard,32205,30.307439,-81.72044
Jacksonville,Duval,Standard,32206,30.351006,-81.64664
Jacksonville,Duval,Standard,32207,30.294389,-81.6374
Jacksonville,Duval,Standard,32208,30.392888,-81.67933
Jacksonville,Duval,Standard,32209,30.354588,-81.69113
Jacksonville,Duval,Standard,32210,30.268572,-81.73987
Jacksonville,Duval,Standard,32211,30.333022,-81.586
Jacksonville,Duval,Standard,32212,30.222683,-81.70165
Jacksonville,Duval,Unique,32214,30.34494,-81.683107
Jacksonville,Duval,Standard,32216,30.28374,-81.58359
Jacksonville,Duval,Standard,32217,30.24354,-81.62098
Jacksonville,Duval,Standard,32218,30.449096,-81.65651
Jacksonville,Duval,Standard,32219,30.411564,-81.76653
Jacksonville,Duval,Standard,32220,30.329588,-81.80865
Jacksonville,Duval,Standard,32221,30.292631,-81.80502
Jacksonville,Duval,Standard,32222,30.230272,-81.81255
Jacksonville,Duval,Standard,32223,30.159091,-81.63073
Jacksonville,Duval,Standard,32224,30.284511,-81.47043
Jacksonville,Duval,Standard,32225,30.348585,-81.49965
Jacksonville,Duval,Standard,32226,30.453405,-81.52551
Jacksonville,Duval,Standard,32227,30.383023,-81.41049
Jacksonville,Duval,P.O. Box,32228,30.38239,-81.436859
Jacksonville,Duval,P.O. Box,32229,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32231,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32232,30.34494,-81.683107
Atlantic Beach,Duval,Standard,32233,30.343407,-81.40949
Jacksonville,Duval,Standard,32234,30.226463,-81.98364
Jacksonville,Duval,P.O. Box,32235,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32236,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32237,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32238,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32239,30.34494,-81.683107
Jacksonville Beach,Duval,P.O. Box,32240,30.34494,-81.683107
Jacksonville,Duval,P.O. Box,32241,30.34494,-81.683107
Jacksonville,Duval,Standard,32244,30.222489,-81.74894
Jacksonville,Duval,P.O. Box,32245,30.34494,-81.683107
Jacksonville,Duval,Standard,32246,30.296911,-81.52228
Jacksonville,Duval,P.O. Box,32247,30.34494,-81.683107
Jacksonville Beach,Duval,Standard,32250,30.284641,-81.39844
Jacksonville,Duval,Standard,32254,30.336038,-81.72509
Jacksonville,Duval,P.O. Box,32255,30.287041,-81.389305
Jacksonville,Duval,Standard,32256,30.206922,-81.54604
Jacksonville,Duval,Standard,32257,30.192434,-81.60597
Jacksonville,Duval,Standard,32258,30.148209,-81.56882
Saint Johns,Saint Johns,Standard,32259,30.092346,-81.60274
Jacksonville,Saint Johns,P.O. Box,32260,29.937673,-81.420603
Neptune Beach,Duval,Standard,32266,30.316641,-81.40308
Jacksonville,Duval,Standard,32277,30.364339,-81.59087
Tallahassee,Leon,Standard,32301,30.431283,-84.26903
Tallahassee,Leon,P.O. Box,32302,30.479347,-84.346204
Tallahassee,Leon,Standard,32303,30.486061,-84.31528
Tallahassee,Leon,Standard,32304,30.446766,-84.32394
Tallahassee,Leon,Standard,32305,30.130775,-84.406629
Tallahassee,Leon,Unique,32306,30.442499,-84.29855
Tallahassee,Leon,Unique,32307,30.42565,-84.287749
Tallahassee,Leon,Standard,32308,30.531677,-84.16049
Tallahassee,Leon,Standard,32309,30.514599,-84.188446
Tallahassee,Leon,Standard,32310,30.400318,-84.34803
Tallahassee,Leon,Standard,32311,30.403146,-84.18841
Tallahassee,Leon,Standard,32312,30.554434,-84.25979
Tallahassee,Leon,Unique,32313,30.479347,-84.346204
Tallahassee,Leon,P.O. Box,32314,30.479347,-84.346204
Tallahassee,Leon,P.O. Box,32315,30.479347,-84.346204
Tallahassee,Leon,P.O. Box,32316,30.479347,-84.346204
Tallahassee,Leon,Standard,32317,30.479347,-84.346204
Tallahassee,Leon,P.O. Box,32318,30.56,-84.18
Apalachicola,Franklin,Standard,32320,29.71877,-85.02704
Bristol,Liberty,Standard,32321,30.36007,-84.97668
Carrabelle,Franklin,Standard,32322,29.912584,-84.6407
Lanark Village,Franklin,P.O. Box,32323,29.879559,-84.60134
Chattahoochee,Gadsden,Standard,32324,30.687983,-84.8218
Crawfordville,Wakulla,P.O. Box,32326,30.183372,-84.34906
Crawfordville,Wakulla,Standard,32327,30.194939,-84.35533
Eastpoint,Franklin,Standard,32328,29.825252,-84.89247
Apalachicola,Franklin,P.O. Box,32329,29.745526,-85.023947
Greensboro,Gadsden,P.O. Box,32330,30.571364,-84.74346
Greenville,Madison,Standard,32331,30.442203,-83.65112
Gretna,Gadsden,Standard,32332,30.616479,-84.66292
Havana,Gadsden,Standard,32333,30.607352,-84.41376
Hosford,Liberty,Standard,32334,30.381958,-84.77767
Sumatra,Liberty,P.O. Box,32335,30.060351,-85.04477
